Id,Score,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32
2747,1,11,10,a,b,0,1,7,e,b,16,d,f,1,42,p,14,i,4,0,a,5,a,1,b,b,2,f,a,b,0,18,b
2748,5,8,10,b,a,0,1,15,e,b,9,d,a,2,14,k,8,f,4,0,b,0,a,1,b,a,5,f,a,b,10,3,b
2749,4,7,0,b,b,0,5,15,e,b,4,d,a,1,61,j,9,f,2,0,b,6,b,2,b,b,7,f,a,b,10,18,b
2750,3,18,5,a,a,0,1,1,e,b,23,d,b,1,53,o,17,i,3,7,b,3,a,3,b,a,10,f,a,b,10,0,b
2751,1,18,10,a,a,0,2,1,e,b,21,c,b,0,43,d,13,a,1,0,a,0,a,1,b,a,10,e,a,b,5,15,b
2752,1,17,5,a,b,0,3,13,e,b,24,d,f,1,85,l,14,i,1,2,a,3,a,3,b,b,16,f,a,b,5,3,b
2753,10,15,1,a,a,0,3,8,a,b,0,e,f,1,87,k,11,i,3,1,b,3,b,1,b,a,6,f,a,b,5,0,a
2754,1,5,10,c,b,0,0,4,e,b,19,c,a,1,83,b,7,a,1,0,a,3,b,1,b,b,6,b,a,a,10,12,b
2755,1,18,0,c,b,1,3,13,e,b,15,c,b,3,39,i,14,c,6,0,a,2,b,1,b,b,5,j,a,b,5,9,b
2756,4,19,10,a,a,0,3,2,c,b,10,c,c,1,71,a,18,f,1,8,a,2,b,1,b,a,12,j,a,b,15,3,b
2757,1,17,10,a,a,0,4,2,c,b,17,d,a,0,95,r,18,g,0,8,b,5,a,1,b,a,15,f,g,b,10,15,b
2758,4,13,5,a,a,0,1,2,c,b,19,c,b,3,44,b,7,a,3,8,a,2,a,1,d,a,14,b,d,b,5,12,b
2759,1,13,6,c,b,0,1,5,e,b,3,d,f,1,71,k,7,i,1,0,a,5,a,1,b,b,8,h,a,b,5,0,b
2760,1,0,6,b,a,0,0,12,a,b,8,d,c,0,42,r,17,f,0,0,a,6,a,1,b,a,5,f,c,b,5,12,a
2761,19,19,6,b,a,0,2,17,c,b,5,c,a,0,28,i,9,c,1,0,a,6,a,1,b,a,5,b,a,b,10,18,b
2762,1,5,1,a,a,0,3,16,e,b,11,c,f,1,57,i,6,b,1,2,a,3,a,1,b,a,13,b,a,b,0,0,b
2763,5,9,1,a,a,0,1,3,d,b,16,d,f,1,51,n,10,i,1,6,b,5,b,2,b,a,13,f,a,b,15,18,b
2764,1,4,1,a,a,0,2,0,d,b,20,e,b,0,41,r,18,i,3,0,b,6,a,1,b,a,10,f,f,b,15,18,b
2765,7,5,1,a,a,0,3,16,a,b,15,c,a,0,49,a,7,b,0,0,a,2,a,3,b,a,3,b,a,b,10,15,a
2766,6,19,0,a,b,0,3,8,c,b,10,d,f,1,83,n,9,i,1,0,b,2,a,1,b,b,11,f,a,b,5,15,b
2767,1,7,10,b,a,0,4,3,e,b,5,d,c,0,55,k,11,f,0,0,b,2,b,3,b,a,3,h,a,b,15,18,b
2768,1,1,10,c,b,0,0,6,e,b,15,d,a,1,34,k,6,i,1,0,a,5,a,3,b,b,8,i,a,b,10,3,b
2769,1,20,1,a,a,0,1,18,e,b,2,d,f,2,24,k,14,i,2,4,a,4,a,1,b,a,14,f,a,b,5,3,b
2770,10,4,5,a,a,0,2,17,c,b,17,c,f,1,26,b,5,a,1,1,b,3,b,3,b,a,14,b,a,d,5,9,b
2771,2,11,10,b,a,0,2,11,e,b,8,c,f,1,52,e,11,c,1,0,a,5,b,1,b,a,3,j,a,b,15,18,b
2772,1,0,6,b,a,0,0,1,a,d,0,e,b,0,77,r,8,f,0,0,b,2,b,4,d,a,4,h,f,b,5,12,a
2773,2,13,10,a,a,0,0,17,e,b,3,c,f,0,82,i,8,a,1,1,a,1,a,1,a,a,6,b,a,b,5,12,b
2774,3,19,0,a,a,0,5,4,c,b,7,d,f,1,95,n,7,i,1,7,b,2,a,1,a,a,12,f,a,b,15,15,b
2775,6,10,6,a,a,0,2,3,e,b,12,c,f,0,66,i,9,b,0,7,a,5,b,1,d,a,13,d,a,b,10,9,b
2776,4,9,1,a,a,0,2,18,a,b,20,c,f,1,59,e,27,c,1,4,a,2,a,1,b,a,11,j,a,b,10,9,a
2777,4,6,10,b,a,0,4,16,a,b,16,a,f,1,62,i,8,a,3,0,b,2,a,1,b,a,3,b,a,b,10,9,a
2778,4,9,5,a,a,0,6,8,e,b,17,c,a,2,85,b,14,f,2,6,a,6,a,1,b,a,13,b,a,b,10,18,b
2779,7,7,5,c,a,0,5,2,e,b,18,a,c,2,47,e,20,f,2,0,b,5,a,2,b,a,5,b,a,b,5,3,b
2780,1,7,6,a,a,0,4,3,e,b,24,d,g,2,75,k,8,i,1,0,b,2,a,1,b,a,17,f,a,b,5,18,b
2781,8,20,5,b,a,0,7,12,e,d,13,c,f,1,82,a,26,c,1,0,a,5,a,1,b,a,4,j,a,b,15,9,b
2782,4,1,1,a,a,0,0,4,e,b,14,d,b,3,12,k,7,i,3,0,b,6,a,3,b,a,13,h,f,b,15,9,b
2783,8,18,6,a,a,0,4,13,e,b,20,c,a,1,36,i,15,c,1,1,b,4,b,1,b,a,3,j,a,b,5,6,b
2784,4,16,6,a,b,0,1,14,e,b,19,c,a,1,55,a,16,f,1,1,a,1,a,1,b,b,4,b,a,b,5,12,a
2785,5,4,5,c,b,0,3,18,d,b,0,d,f,0,50,j,8,i,0,0,b,4,a,3,b,b,14,f,a,b,5,18,b
2786,5,20,1,b,a,0,3,11,a,b,12,c,h,1,59,d,17,c,1,0,a,1,a,1,b,a,3,j,a,b,15,15,a
2787,5,12,10,a,b,1,1,9,e,b,22,d,f,3,60,k,12,i,4,9,b,6,b,1,b,b,13,f,a,b,15,18,b
2788,1,17,5,a,a,0,0,1,e,b,20,d,f,2,50,k,12,i,3,5,b,5,b,3,b,a,6,f,a,b,0,15,b
2789,4,4,10,c,a,0,2,9,e,b,14,c,d,0,82,i,18,c,0,0,a,4,b,1,b,a,12,j,a,c,10,18,b
2790,2,12,0,b,a,0,2,14,d,b,1,d,f,1,57,r,8,f,2,0,a,4,a,1,b,a,3,h,a,b,5,12,a
2791,4,1,6,a,a,0,1,9,e,b,17,c,d,1,23,i,16,c,1,1,a,3,a,1,b,a,5,b,a,b,10,0,b
2792,1,1,5,a,a,0,1,18,a,b,14,d,h,1,37,r,15,g,5,1,a,5,a,1,b,a,7,k,a,b,10,9,a
2793,3,15,10,a,a,0,0,8,e,b,2,c,c,1,89,b,13,c,1,8,a,2,b,1,b,a,11,b,a,b,5,9,b
2794,3,11,1,a,a,0,1,2,e,b,5,e,f,1,28,m,12,i,3,2,b,0,a,1,b,a,3,f,a,b,10,12,b
2795,1,10,5,b,a,0,0,4,a,b,17,d,b,1,8,r,11,f,1,0,a,6,a,1,b,a,13,f,f,b,5,12,a
2796,2,17,5,a,a,0,4,6,e,b,11,a,a,1,78,b,9,a,1,0,a,1,b,2,b,a,5,b,a,b,15,15,b
2797,4,6,10,a,b,0,4,3,e,b,7,c,f,0,91,i,8,a,1,1,a,3,a,1,b,b,8,b,a,b,10,9,b
2798,1,6,10,a,b,0,4,13,d,b,4,c,a,1,71,a,17,c,3,4,a,2,a,1,b,b,5,b,a,b,5,0,b
2799,2,18,1,b,a,0,4,10,c,b,5,c,f,1,19,d,14,c,2,0,b,6,a,1,b,a,4,j,a,b,15,12,a
2800,7,0,6,c,a,0,0,5,e,b,2,d,f,1,47,j,5,i,1,0,a,2,a,3,c,a,10,f,a,b,15,9,b
2801,1,0,0,b,a,0,0,17,d,b,18,c,f,1,35,b,6,a,2,0,a,2,a,1,b,a,2,b,a,b,15,18,b
2802,4,17,5,b,a,0,1,12,c,b,7,d,f,2,10,r,14,f,3,0,a,2,a,1,b,a,5,h,a,b,15,6,b
2803,6,3,1,e,a,0,1,3,c,b,0,c,a,1,47,i,9,c,3,1,b,2,a,1,b,a,6,b,a,b,15,15,b
2804,4,0,6,b,a,0,0,17,e,b,0,c,f,1,35,i,12,a,1,0,b,2,a,1,b,a,5,j,a,b,5,9,b
2805,1,18,1,a,a,0,1,12,c,b,6,c,a,1,46,a,7,c,1,9,a,6,b,3,b,a,11,d,e,b,5,9,b
2806,4,16,0,a,b,0,0,2,e,b,16,d,f,1,83,r,12,i,1,0,a,3,a,1,b,b,11,f,a,b,10,0,b
2807,7,7,6,b,b,0,5,3,a,b,8,c,f,1,49,b,9,c,1,0,b,2,a,3,b,a,13,b,a,b,15,12,a
2808,1,6,1,a,b,0,0,15,a,b,6,c,f,1,73,a,8,b,1,1,a,0,b,3,b,b,6,b,a,b,5,9,a
2809,5,6,1,a,a,0,4,4,a,b,23,d,b,1,41,r,8,i,2,4,a,3,a,1,b,a,5,f,a,b,15,9,a
2810,4,4,10,b,a,0,8,1,e,b,23,c,b,1,56,b,10,a,3,9,a,0,a,2,c,a,5,c,f,b,10,12,b
2811,1,17,6,a,b,0,4,15,a,b,0,d,a,1,44,m,8,g,1,0,a,6,a,1,b,b,11,f,a,b,5,12,a
2812,1,18,1,a,a,0,1,0,c,b,21,c,f,0,43,a,18,a,1,4,b,3,a,2,b,a,4,b,a,b,10,12,b
2813,2,17,5,a,a,0,2,0,c,b,19,a,b,4,18,b,20,a,1,1,a,1,b,3,b,a,21,j,c,b,10,18,a
2814,4,6,5,b,a,0,4,16,a,b,8,d,f,1,43,k,8,f,1,0,a,3,a,2,b,a,2,h,a,b,10,6,a
2815,4,0,0,b,a,0,0,16,a,b,15,c,a,1,42,b,7,a,1,0,a,6,a,3,b,a,2,b,a,b,5,15,a
2816,1,17,6,b,a,0,3,8,a,b,14,d,f,1,12,k,6,f,2,0,b,0,a,2,b,a,1,f,a,b,5,15,a
2817,3,17,10,a,b,0,5,14,e,b,0,c,f,1,80,a,15,f,2,3,a,2,a,1,b,b,21,b,g,b,5,15,b
2818,2,12,1,a,b,0,1,6,e,b,15,e,a,1,80,o,7,g,1,0,b,3,a,2,b,b,12,h,a,b,10,3,b
2819,7,17,10,a,a,0,0,14,c,b,16,c,f,2,57,i,6,a,3,2,b,6,a,1,b,a,7,b,a,b,5,9,b
2820,1,6,5,a,a,0,4,6,c,b,16,a,a,0,50,b,8,a,0,0,a,1,b,3,b,a,6,b,a,b,10,9,b
2821,2,17,0,b,a,0,3,11,a,b,8,d,f,1,53,k,6,f,1,0,a,2,a,1,b,a,5,h,a,b,15,15,a
2822,6,18,6,a,a,0,4,8,d,b,17,d,h,1,52,k,14,g,1,9,a,4,a,1,b,a,9,f,a,b,5,18,b
2823,1,7,10,b,a,0,4,11,a,b,2,d,f,1,21,r,20,f,2,0,b,5,a,3,b,a,5,f,a,b,5,6,a
2824,6,1,6,b,a,0,1,5,c,b,1,c,f,1,35,i,7,b,1,0,b,5,b,3,b,a,3,b,a,b,5,12,b
2825,4,6,6,a,a,0,1,2,c,b,20,c,b,0,30,i,15,c,0,3,a,5,a,2,d,a,14,j,a,b,0,15,b
2826,3,17,1,c,b,0,4,6,e,b,11,d,a,1,89,r,7,i,3,0,a,6,b,3,b,b,13,h,a,b,15,15,b
2827,1,15,1,b,b,0,4,6,e,b,16,a,a,0,65,i,9,a,0,0,a,4,a,1,b,b,9,b,a,b,15,12,b
2828,2,13,6,a,a,0,3,6,c,b,16,c,f,2,87,e,11,d,4,3,a,0,b,1,b,a,10,b,a,b,15,12,b
2829,1,9,6,a,a,0,2,4,e,b,9,c,a,1,39,b,8,a,3,3,a,6,a,3,b,a,8,b,a,b,5,12,b
2830,1,6,10,b,a,0,4,8,a,b,7,c,f,0,61,i,14,c,0,0,b,0,a,1,b,a,3,b,a,b,10,9,a
2831,9,7,10,c,a,0,2,5,e,b,8,d,f,0,52,r,7,i,0,0,a,6,a,1,b,a,10,f,a,b,5,0,b
2832,3,14,6,b,a,0,3,17,e,b,15,c,f,0,46,i,5,a,1,0,a,4,b,1,b,a,4,b,a,b,10,6,b
2833,16,0,0,c,a,0,0,6,e,b,17,d,f,1,56,r,8,i,1,0,b,4,a,1,c,a,9,f,a,b,10,9,b
2834,1,6,1,a,b,0,0,5,e,b,24,c,a,1,50,b,8,a,1,1,b,6,b,3,b,b,10,b,a,b,15,18,b
2835,6,0,6,a,a,0,0,18,e,b,5,a,f,1,25,i,15,f,1,1,a,2,a,1,c,a,13,b,a,b,10,6,b
2836,10,16,5,a,a,0,2,6,c,b,0,c,a,1,55,g,7,a,1,11,a,2,b,2,b,a,12,j,a,b,15,18,b
2837,1,7,1,b,a,0,0,1,e,b,21,c,b,1,47,b,16,a,1,0,b,3,a,2,b,a,9,b,a,b,5,18,b
2838,2,7,6,a,b,1,5,10,d,b,18,c,f,2,73,d,13,c,3,6,b,5,b,1,b,b,11,j,a,d,15,0,b
2839,9,15,10,a,a,0,0,3,e,b,4,c,f,0,86,i,7,b,0,2,b,2,a,2,b,a,13,d,b,b,15,15,b
2840,2,15,10,b,a,0,3,11,c,b,3,c,f,1,23,b,17,c,1,0,a,3,a,1,b,a,8,b,a,b,10,15,b
2841,2,7,1,c,b,0,4,3,e,b,1,d,f,0,82,r,5,i,0,0,a,0,a,2,b,b,11,f,a,a,10,15,b
2842,6,12,1,a,a,0,0,4,e,b,7,d,c,1,62,r,8,i,1,6,a,2,a,3,d,a,10,f,a,d,0,9,b
2843,4,18,1,a,a,0,3,0,c,b,20,d,b,1,41,j,13,i,0,1,a,4,a,1,b,a,19,h,a,b,5,18,b
2844,4,10,6,a,a,0,2,8,e,b,17,c,h,1,82,e,9,c,1,9,b,4,b,1,b,a,14,b,a,b,5,15,b
2845,1,4,6,c,b,0,3,4,e,b,13,c,f,1,91,b,8,a,1,0,a,0,a,1,b,b,5,b,a,b,10,18,b
2846,1,6,1,c,b,0,4,13,c,b,1,d,f,0,78,m,7,i,1,3,a,2,a,1,b,b,10,f,a,b,5,18,b
2847,1,7,1,b,a,0,5,17,c,b,15,d,a,0,93,r,6,f,0,5,b,3,a,1,b,a,3,h,a,b,10,15,b
2848,1,4,10,b,a,0,3,11,a,b,5,d,f,1,29,j,15,f,1,0,a,1,a,1,b,a,3,f,a,b,10,0,a
2849,8,16,6,a,a,0,4,1,e,b,23,d,b,1,56,r,17,i,2,0,a,1,b,1,b,a,6,f,a,a,5,9,b
2850,4,6,5,a,b,0,4,3,e,b,0,c,f,1,81,b,8,a,1,4,b,6,a,3,b,b,6,b,a,b,10,3,b
2851,2,2,1,a,a,0,1,18,a,b,10,a,f,1,52,e,22,b,1,2,a,0,b,3,b,a,5,b,a,b,15,3,a
2852,5,13,0,b,a,0,0,0,e,b,20,c,b,1,30,b,11,a,1,2,b,2,a,2,b,a,8,b,a,b,10,12,a
2853,2,20,10,a,b,0,1,4,e,b,17,d,a,1,71,k,9,g,1,2,b,3,a,1,b,b,6,f,a,b,10,9,b
2854,4,6,1,a,a,0,2,8,e,b,16,d,f,1,15,m,15,i,1,3,b,6,b,3,b,a,10,f,a,b,15,12,b
2855,3,20,10,a,a,0,0,18,e,b,15,c,h,1,50,e,21,c,2,0,b,6,a,1,c,a,5,b,a,b,15,9,b
2856,5,17,1,c,b,0,0,7,e,d,2,d,a,1,54,r,11,i,1,0,b,6,a,2,b,b,7,f,a,b,0,0,b
2857,1,5,10,b,a,0,0,18,a,b,12,c,f,1,37,b,7,a,2,0,b,5,a,1,b,a,3,b,a,b,15,9,b
2858,1,5,6,c,b,0,3,15,e,b,2,c,a,0,67,b,6,a,0,0,a,3,b,3,b,b,11,j,a,b,5,9,b
2859,7,13,10,c,a,0,0,2,e,b,3,c,h,0,50,i,8,a,0,0,a,3,b,1,b,a,16,c,a,b,5,18,b
2860,1,18,6,a,b,0,4,8,d,b,0,c,f,1,19,i,10,a,1,5,b,6,a,1,b,b,15,b,a,b,5,15,a
2861,1,17,6,c,b,0,0,10,c,b,23,c,f,1,71,c,13,f,1,0,a,5,a,1,b,a,3,j,a,b,0,18,b
2862,7,12,1,a,a,0,2,3,d,b,21,d,f,0,61,n,5,i,0,0,b,0,a,3,b,a,5,f,a,b,15,18,b
2863,4,12,5,a,a,0,0,12,e,b,1,d,f,0,52,j,11,i,0,1,a,3,b,3,b,a,3,h,a,b,10,9,b
2864,2,14,1,a,a,0,0,5,e,b,9,c,a,1,49,b,7,a,1,0,b,0,a,3,b,a,12,b,a,b,5,15,b
2865,14,23,1,a,a,0,4,2,e,b,3,c,f,1,70,b,15,c,1,5,b,5,a,1,b,a,17,j,a,b,5,9,b
2866,1,3,1,a,a,0,3,1,e,d,23,d,b,0,55,n,12,i,1,11,a,2,b,3,b,a,13,h,f,b,10,18,b
2867,1,16,0,b,a,0,3,1,a,b,7,e,b,2,53,j,10,f,2,0,b,5,a,1,b,a,1,h,a,b,5,0,a
2868,7,11,0,a,a,0,0,3,a,b,0,c,f,1,40,g,8,a,1,1,b,1,a,4,b,a,7,b,b,c,15,15,a
2869,1,17,10,b,a,0,1,8,a,b,8,d,h,1,17,r,8,f,2,11,a,1,a,1,b,a,8,f,a,b,10,9,a
2870,1,16,1,c,b,0,0,15,e,b,16,d,f,1,90,m,13,i,1,0,a,3,a,1,b,b,6,h,a,b,5,18,b
2871,14,7,5,a,b,0,4,2,e,b,19,d,f,1,52,k,15,i,5,2,b,5,a,1,b,b,5,f,a,b,5,18,b
2872,5,20,6,a,a,0,0,10,e,b,0,d,h,1,76,r,20,f,1,1,a,1,a,1,b,a,7,g,a,b,5,15,b
2873,1,8,10,a,a,0,1,4,e,b,14,d,b,1,38,k,5,i,1,0,a,6,a,3,b,a,8,f,a,b,15,15,b
2874,1,4,1,a,a,0,6,0,e,b,20,d,b,2,23,l,12,i,0,0,a,2,a,2,b,a,8,h,f,b,10,3,a
2875,3,18,1,a,a,0,6,9,c,b,16,c,h,1,42,i,33,c,2,0,a,1,b,1,b,a,7,j,a,b,5,9,b
2876,1,19,1,a,a,0,1,7,c,b,10,c,a,1,73,e,19,c,1,11,b,2,b,3,b,a,17,b,a,b,5,12,b
2877,16,9,6,a,a,0,3,17,e,b,2,d,f,1,78,p,16,i,1,4,b,4,a,1,b,a,14,f,a,b,15,12,b
2878,3,16,0,a,a,0,5,16,c,b,22,a,a,1,48,g,11,a,1,5,a,4,b,2,a,a,10,b,a,b,5,18,b
2879,1,6,5,a,a,0,1,2,d,b,20,c,b,0,68,i,16,f,0,1,b,6,b,3,b,a,4,c,a,b,15,3,b
2880,1,11,6,a,a,0,2,7,e,b,15,c,a,1,63,i,11,c,1,1,b,3,a,1,d,a,12,b,a,b,15,18,b
2881,1,8,1,a,a,0,1,4,e,b,13,c,b,1,8,i,5,a,1,2,b,3,b,3,a,a,5,j,a,b,5,12,b
2882,2,3,1,a,a,0,2,2,d,b,0,c,c,1,50,i,16,c,3,2,b,0,b,3,b,a,9,j,a,b,10,18,b
2883,1,5,6,a,a,0,3,3,e,b,20,d,f,2,98,r,7,i,2,0,b,5,a,2,b,a,20,f,a,b,10,15,b
2884,5,18,10,a,a,0,0,6,e,a,8,c,a,1,50,i,7,a,2,0,b,6,a,3,b,a,12,b,a,b,10,9,b
2885,4,21,0,a,a,0,3,8,c,b,17,d,c,3,47,l,17,i,5,8,b,3,b,1,b,a,9,f,a,b,15,18,b
2886,1,14,5,a,a,0,6,11,e,b,0,c,f,3,53,i,27,c,3,8,a,4,b,1,b,a,15,j,a,a,10,9,b
2887,1,14,10,b,a,0,3,0,e,d,20,c,f,0,24,b,26,a,1,6,a,4,b,1,b,a,8,j,b,b,0,3,a
2888,5,16,1,b,a,0,1,11,a,b,7,d,f,0,29,r,12,f,0,0,b,2,b,1,b,a,2,f,a,b,5,0,a
2889,14,18,1,a,a,0,4,14,e,b,21,d,f,1,26,r,14,i,3,5,a,6,a,2,b,a,10,h,a,b,5,6,b
2890,2,16,10,c,b,0,3,13,e,b,18,d,f,0,47,r,12,i,0,0,b,0,a,2,b,b,16,f,a,b,5,12,b
2891,7,9,1,a,a,0,1,9,e,b,8,d,f,4,52,n,20,i,4,8,b,6,a,1,b,a,18,h,a,b,10,18,b
2892,4,14,1,a,a,0,1,3,c,b,19,c,f,0,53,b,8,f,0,10,b,5,a,2,b,a,15,b,a,b,15,18,b
2893,2,12,1,c,b,0,1,13,e,b,21,d,f,2,42,r,12,i,3,0,a,2,b,1,b,b,10,f,a,b,10,18,b
2894,1,9,5,a,b,0,3,15,e,b,8,a,a,1,52,a,22,f,1,1,a,3,a,1,d,b,15,b,a,b,5,15,b
2895,6,17,6,a,b,0,1,4,e,d,17,d,a,1,87,j,9,g,1,0,b,3,a,3,b,b,7,f,a,b,5,6,b
2896,5,10,1,a,a,0,7,16,a,b,8,e,f,1,15,l,7,i,1,4,b,3,a,1,b,a,13,f,a,b,5,15,a
2897,3,11,6,b,a,0,3,3,e,b,1,c,f,1,72,i,10,f,1,0,a,1,a,2,b,a,4,b,a,b,10,18,b
2898,1,0,5,c,b,0,0,4,c,b,10,d,a,1,64,r,7,i,2,0,b,5,a,1,b,b,13,f,a,b,0,3,b
2899,10,17,10,b,a,0,1,6,a,b,11,d,a,0,40,n,7,f,0,0,a,2,a,3,b,a,4,f,a,a,10,12,a
2900,1,3,1,a,a,0,2,6,e,b,7,c,a,2,47,b,8,a,3,2,a,5,b,2,b,a,10,b,a,b,15,12,b
2901,1,4,10,a,b,0,3,4,e,b,7,c,g,1,67,b,5,a,1,0,a,3,a,3,b,b,14,b,a,b,15,9,b
2902,1,5,1,a,a,0,3,10,c,b,18,c,h,1,64,i,9,c,1,3,b,2,a,2,b,a,8,b,a,b,5,18,b
2903,5,4,5,a,a,0,1,5,e,b,20,d,b,0,51,k,10,i,0,2,a,0,a,3,b,a,10,f,a,b,10,15,b
2904,3,9,1,a,a,0,4,10,e,b,0,d,h,1,10,r,5,g,1,2,b,6,a,3,b,a,11,f,a,b,0,12,b
2905,10,22,0,b,a,0,2,1,e,b,4,c,f,1,62,i,19,c,1,0,a,5,a,1,b,a,4,j,a,b,5,12,b
2906,10,18,6,a,a,0,1,6,c,b,0,d,f,0,57,q,7,i,0,4,a,3,b,1,b,a,8,f,a,b,10,6,a
2907,4,13,5,a,a,0,1,6,a,b,4,d,f,0,51,k,7,i,0,2,a,3,a,1,b,a,5,f,a,b,15,12,a
2908,4,1,6,b,a,0,1,3,e,b,12,c,f,1,43,a,5,a,2,0,b,5,a,3,b,a,3,b,a,b,10,9,b
2909,5,15,1,a,a,0,0,5,a,b,18,e,a,1,73,r,6,g,1,9,a,6,a,1,b,a,11,f,a,b,10,18,a
2910,1,17,10,b,a,0,0,8,a,b,14,c,f,1,30,a,8,a,1,0,b,3,a,1,b,a,10,b,a,b,5,18,a
2911,11,9,6,a,a,0,2,18,a,d,17,d,h,0,49,r,15,g,0,7,a,0,a,1,b,a,12,h,a,b,15,18,a
2912,8,5,6,a,a,0,3,16,a,b,15,c,f,1,80,b,5,b,3,3,b,6,a,1,b,a,10,b,b,b,15,18,a
2913,3,7,10,a,b,0,0,15,e,b,17,d,f,0,94,r,8,i,0,9,b,5,a,3,b,b,20,f,a,b,15,15,b
2914,4,19,10,a,a,0,8,7,c,b,3,e,a,0,72,k,12,g,0,6,b,3,a,1,b,a,10,f,a,b,10,15,b
2915,20,20,10,a,a,0,6,8,c,b,17,d,h,2,6,k,17,g,3,6,a,4,b,1,b,a,10,f,a,b,10,6,b
2916,7,3,10,a,a,0,1,5,e,b,22,d,f,1,80,r,2,i,1,0,a,4,a,1,b,a,4,f,b,b,15,9,b
2917,7,18,10,a,a,0,3,7,e,b,0,c,f,1,83,h,12,c,1,9,a,2,a,1,b,a,14,b,a,b,15,18,b
2918,4,5,6,a,a,0,3,3,d,b,23,d,a,0,79,r,6,g,0,3,a,3,b,3,b,a,5,h,a,b,5,6,b
2919,4,3,6,b,a,0,2,1,e,b,6,d,f,1,53,m,12,f,1,0,b,6,a,1,b,a,12,f,b,b,5,15,b
2920,1,13,0,e,a,0,5,2,c,b,0,c,f,0,51,b,7,a,0,4,a,5,b,2,b,a,7,j,a,b,5,15,b
2921,1,3,10,c,a,0,2,17,e,b,15,c,f,1,41,b,7,b,2,0,b,6,a,3,b,a,7,b,a,b,10,12,b
2922,1,17,10,b,a,0,3,11,e,b,2,c,f,1,33,b,15,c,1,0,a,6,a,1,b,a,2,j,a,b,15,15,b
2923,4,14,1,a,a,0,1,4,e,b,11,d,b,1,96,n,5,i,1,4,b,2,a,2,b,a,6,h,a,b,5,18,b
2924,6,18,1,a,a,0,0,15,d,b,11,d,a,0,48,j,7,g,0,11,b,4,b,1,b,a,21,f,a,b,5,9,b
2925,2,3,6,c,b,0,2,4,e,b,4,c,f,1,48,b,6,a,1,0,b,6,b,1,b,b,7,c,f,b,5,18,b
2926,8,18,5,c,b,0,0,9,d,b,17,d,f,1,59,m,13,i,1,0,a,1,b,1,b,b,9,g,a,b,5,12,b
2927,1,4,10,a,a,0,3,3,d,d,5,d,f,1,43,n,7,i,2,3,b,3,a,3,b,a,7,f,a,b,10,9,b
2928,4,11,10,b,a,0,1,3,a,b,2,d,f,0,48,k,8,f,1,0,a,6,a,1,b,a,5,f,a,b,5,3,a
2929,8,18,5,a,a,0,1,5,e,b,7,c,a,0,78,e,8,a,0,0,a,0,a,3,d,a,5,b,a,a,5,3,b
2930,2,17,6,b,a,0,0,14,a,a,5,d,h,1,17,j,9,f,2,0,b,6,a,1,d,a,2,h,a,b,15,3,a
2931,1,17,6,b,a,0,5,7,a,b,11,d,b,0,37,r,17,f,0,0,b,6,a,2,b,a,2,f,a,b,5,18,a
2932,7,3,0,a,a,0,2,8,e,b,11,d,a,1,77,r,19,i,1,1,b,2,a,3,b,a,9,h,a,b,5,18,b
2933,8,11,0,a,a,0,2,7,e,b,9,c,f,1,41,b,11,c,1,3,a,2,a,1,b,a,4,j,a,b,10,6,b
2934,4,12,1,a,a,0,3,7,e,b,20,a,a,1,92,b,16,f,4,0,a,2,a,3,d,a,7,j,a,b,5,18,b
2935,5,8,1,b,a,0,3,13,a,b,2,d,f,1,70,k,10,f,3,0,a,3,b,1,b,a,6,f,a,b,15,0,a
2936,5,17,5,a,a,0,5,4,c,b,7,c,a,1,38,i,6,a,1,6,b,6,b,1,b,a,15,b,a,b,5,12,b
2937,1,10,6,c,a,0,2,7,e,b,8,c,f,1,56,b,9,b,4,0,a,3,a,1,b,a,5,b,a,b,0,6,b
2938,1,13,6,a,a,0,4,2,c,b,16,b,a,1,71,b,15,c,1,0,a,6,a,1,b,a,3,b,a,b,5,9,b
2939,7,12,6,c,b,0,1,9,e,b,12,d,f,0,58,r,10,i,0,0,a,6,a,1,b,b,7,f,a,b,10,12,b
2940,16,6,6,c,b,0,1,14,e,b,3,d,f,1,72,n,19,i,2,0,a,2,a,1,b,b,15,h,a,b,10,18,b
2941,1,1,1,b,a,0,0,14,a,b,1,d,f,0,11,r,8,f,1,0,a,5,a,1,b,a,13,f,a,b,5,18,a
2942,1,0,5,b,a,0,0,4,e,b,9,c,b,1,23,i,6,a,1,0,a,6,a,2,b,a,2,b,a,b,10,15,b
2943,4,0,5,b,a,0,0,17,a,b,4,c,f,2,51,i,8,a,2,0,a,3,b,1,b,a,9,b,a,d,5,0,a
2944,4,5,1,c,b,0,3,10,d,b,16,d,f,1,89,n,19,i,2,0,b,2,a,1,b,b,7,f,a,b,10,3,b
2945,1,18,5,a,a,0,1,3,c,b,19,a,d,0,86,i,12,b,0,5,b,2,b,1,b,a,14,b,a,b,0,0,b
2946,3,15,5,a,a,0,0,13,e,b,15,c,f,3,60,i,14,c,4,8,b,5,b,2,b,a,11,b,a,b,10,12,b
